Description,Revenue
REGENCY CAKESTAND 3 TIER,344563.25
Manual,341104.9
DOTCOM POSTAGE,322657.48
WHITE HANGING HEART T-LIGHT HOLDER,266923.55
"PAPER CRAFT , LITTLE BIRDIE",168469.6
JUMBO BAG RED RETROSPOT,150935.56
PARTY BUNTING,149187.05000000002
ASSORTED COLOUR BIRD ORNAMENT,132187.92
POSTAGE,127597.42
PAPER CHAIN KIT 50'S CHRISTMAS ,123141.54000000001
CHILLI LIGHTS,85489.91
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001
ROTATING SILVER ANGELS T-LIGHT HLDR,74448.92
JUMBO BAG STRAWBERRY,69565.89
BLACK RECORD COVER FRAME,69329.47
RABBIT NIGHT LIGHT,66964.99
HOT WATER BOTTLE TEA AND SYMPATHY,63517.75
WOOD BLACK BOARD ANT WHITE FINISH,62842.02
JUMBO STORAGE BAG SUKI,62285.28
PAPER CHAIN KIT VINTAGE CHRISTMAS,61721.990000000005
